	nodes_synt	edges_synt	radius_synt	diameter_synt	average_clustering_synt	transitivity_synt	density_synt	degree_pearson_correlation_coefficien_syntt	nodes_flat	edges_flat	radius_flat	diameter_flat	average_clustering_flat	transitivity_flat	density_flat	degree_pearson_correlation_coefficient_flat	class
0	0	0	0	0	0.0	0.0	0.0	-0.6777963272120199	0	0	0	0	0.0	0.0	0.0	-0.5304659498207884	news
1	0	0	0	0	0.0	0.0	0.0	-0.6326530612244898	0	0	0	0	0.0	0.0	0.0	-0.776	news
2	0	0	0	0	0.0	0.0	0.0	-0.7622461170848268	0	0	0	0	0.0	0.0	0.0	-0.3702391496899912	news
3	0	0	0	0	0.0	0.0	0.0	-0.8333333333333334	0	0	0	0	0.0	0.0	0.0	-0.4666666666666667	news
4	0	0	0	0	0.0	0.0	0.0	-0.66865315852205	0	0	0	0	0.0	0.0	0.0	-0.7500000000000001	news
5	0	0	0	0	0.0	0.0	0.0	-0.7100737100737099	0	0	0	0	0.0	0.0	0.0	-0.49144050104384135	news
6	0	0	0	0	0.0	0.0	0.0	-0.6604244694132336	0	0	0	0	0.0	0.0	0.0	-0.47835314091680825	news
7	0	0	0	0	0.0	0.0	0.0	-0.7391304347826085	0	0	0	0	0.0	0.0	0.0	-0.7	news
8	0	0	0	0	0.0	0.0	0.0	-0.6172276098117512	0	0	0	0	0.0	0.0	0.0	-0.6666666666666666	news
9	0	0	0	0	0.0	0.0	0.0	-0.6387337057728116	0	0	0	0	0.0	0.0	0.0	-0.541507024265645	news
10	0	0	0	0	0.0	0.0	0.0	-0.5215896509527416	0	0	0	0	0.0	0.0	0.0	-0.408897014015844	news
11	0	0	0	0	0.0	0.0	0.0	-0.5903614457831325	0	0	0	0	0.0	0.0	0.0	-0.6539379474940333	news
12	0	0	0	0	0.0	0.0	0.0	-0.5284249767008388	0	0	0	0	0.0	0.0	0.0	-0.5027037282990225	news
13	0	0	0	0	0.0	0.0	0.0	-0.6415094339622641	0	0	0	0	0.0	0.0	0.0	-0.35576330388329563	news
14	0	0	0	0	0.0	0.0	0.0	-0.527705295471988	0	0	0	0	0.0	0.0	0.0	-0.45	news
15	0	0	0	0	0.0	0.0	0.0	-0.6196746707978312	0	0	0	0	0.0	0.0	0.0	-0.46233679276866413	news
16	0	0	0	0	0.0	0.0	0.0	-0.7486338797814208	0	0	0	0	0.0	0.0	0.0	-0.4745762711864408	news
17	0	0	0	0	0.0	0.0	0.0	-0.6390243902439025	0	0	0	0	0.0	0.0	0.0	-0.5	news
18	0	0	0	0	0.0	0.0	0.0	-0.5902250250824137	0	0	0	0	0.0	0.0	0.0	-0.39229871645274206	news
19	0	0	0	0	0.0	0.0	0.0	-0.7385620915032679	0	0	0	0	0.0	0.0	0.0	-0.6057347670250895	news
20	0	0	0	0	0.0	0.0	0.0	-0.5668393782383421	0	0	0	0	0.0	0.0	0.0	-0.4714457211456009	news
21	0	0	0	0	0.0	0.0	0.0	-0.5200764818355639	0	0	0	0	0.0	0.0	0.0	-0.5229007633587787	news
22	0	0	0	0	0.0	0.0	0.0	-0.6338085539714869	0	0	0	0	0.0	0.0	0.0	-0.560553633217993	news
23	0	0	0	0	0.0	0.0	0.0	-0.641566265060241	0	0	0	0	0.0	0.0	0.0	-0.5461538461538462	news
24	0	0	0	0	0.0	0.0	0.0	-0.5928994600266707	0	0	0	0	0.0	0.0	0.0	-0.22371106575561273	news
25	0	0	0	0	0.0	0.0	0.0	-0.7391304347826086	0	0	0	0	0.0	0.0	0.0	-0.8333333333333334	news
